"Últ Atualização","Região Covid","Município","Cód IBGE","Município","Leitos","Pacientes","Taxa Ocupação","Confirmados","Suspeitos"
"16/06/2020 00:00","Caxias Do Sul - R23 R24 R25 R26","Flores Da Cunha","2241145","Hospital Fatima","0","0","-","0","0"
"16/06/2020 00:00","Santa Maria - R01 R02","Ivorá","2244179","Hospital De Ivora","0","0","-","0","0"
"16/06/2020 00:00","Santa Rosa - R14","Tucunduva","5050170","Hospital Dr Osvaldo Teixeira","0","0","-","0","0"
"16/06/2020 00:00","Passo Fundo - R17 R18 R19","Marau","2246953","Hospital Cristo Redentor Marau","0","0","-","0","0"
"16/06/2020 00:00","Lajeado - R29 R30","Boqueirão Do Leão","2252058","Hosp Dr Anuar Elias Aesse Boqueirao Do Leao","0","0","-","0","0"
"16/06/2020 00:00","Palmeira Das Missoes - R15 R20","Seberi","2228610","Hospital Pio Xii Seberi","0","0","-","0","0"
"16/06/2020 00:00","Canoas - R08","Triunfo","2227673","Hospital De Caridade Santa Rita","0","0","-","0","0"
"16/06/2020 00:00","Ijui - R13","Chiapetta","2261103","Hospital De Chiapetta","0","0","-","0","0"
"16/06/2020 00:00","Cachoeira Do Sul - R27","Sobradinho","9016554","Hospital Sao Joao Evangelista","0","0","-","0","0"
"16/06/2020 00:00","Ijui - R13","Campo Novo","2261154","Hospicampo","0","0","-","0","0"
"16/06/2020 00:00","Passo Fundo - R17 R18 R19","Maximiliano De Almeida","2247038","Hospital Sao Jose Maximiliano De Almeida","0","0","-","0","0"
"16/06/2020 00:00","Cruz Alta - R12","Salto Do Jacuí","2263882","Hospital Municipal Dr Aderbal Schneider","0","0","-","0","0"
"16/06/2020 00:00","Pelotas - R21","Herval","2233436","Hospital Nossa Senhora Da Gloria","0","0","-","0","0"
"16/06/2020 00:00","Bage - R22","Lavras Do Sul","2262029","Fundacao Medico Hospitalar","0","0","-","0","0"
"16/06/2020 00:00","Caxias Do Sul - R23 R24 R25 R26","Bom Princípio","2241129","Hospital Sao Pedro Canisio","0","0","-","0","0"
"16/06/2020 05:34","Lajeado - R29 R30","Anta Gorda","9309470","Hospital Padre Catelli","0","0","-","0","0"
"16/06/2020 05:35","Lajeado - R29 R30","Putinga","2252171","Hospital Doutor Oscar Benevolo","0","0","-","0","0"
"16/06/2020 06:06","Ijui - R13","Panambi","2254956","Hospital Panambi","0","0","-","0","0"
"16/06/2020 06:15","Canoas - R08","Canoas","3508528","Hospital Universitario","40","28","70%","5","5"
"16/06/2020 06:35","Lajeado - R29 R30","Progresso","2252082","Hospital Santa Isabel Progresso","0","0","-","0","0"
"16/06/2020 06:54","Novo Hamburgo - R07","Dois Irmãos","6844138","Hospital Sao Jose De Dois Irmaos Ibsaude","0","0","-","0","0"
"16/06/2020 07:11","Erechim - R16","Erechim","2249669","Hospital Unimed Erechim","0","0","-","0","0"
"16/06/2020 07:18","Ijui - R13","Crissiumal","2708000","Hospital De Caridade De Crissiumal","0","0","-","0","0"
"16/06/2020 07:21","Santa Rosa - R14","Três De Maio","2250837","Hospital Sao Vicente De Paulo","6","5","83.3%","0","0"
"16/06/2020 07:32","Canoas - R08","Salvador Do Sul","2227681","Hospital Sao Salvador","0","0","-","0","0"
"16/06/2020 07:36","Taquara - R06","Igrejinha","2227665","Hospital Bom Pastor","0","0","-","0","0"
"16/06/2020 07:45","Santa Rosa - R14","Cândido Godói","2250675","Hospital Santo Afonso","0","0","-","0","0"
"16/06/2020 07:57","Pelotas - R21","Pelotas","2253054","Santa Casa De Misericordia De Pelotas","17","15","88.2%","0","0"
"16/06/2020 07:59","Santa Maria - R01 R02","São Francisco De Assis","2244330","Hospital Santo Antonio","0","0","-","0","0"
"16/06/2020 08:00","Ijui - R13","Augusto Pestana","2261081","Hospital Sao Francisco","0","0","-","0","0"
"16/06/2020 08:02","Erechim - R16","Getúlio Vargas","2249510","Hospital Sao Roque De Getulio Vargas","0","0","-","0","0"
"16/06/2020 08:04","Novo Hamburgo - R07","Campo Bom","2232073","Hospital De Campo Bom Dr Lauro Reus","10","8","80%","1","0"
"16/06/2020 08:05","Porto Alegre - R09 R10","Guaíba","6131913","Hospital Unimed","0","0","-","0","0"
"16/06/2020 08:07","Santa Cruz Do Sul - R28","Vera Cruz","2236354","Hospital Vera Cruz","0","0","-","0","0"
"16/06/2020 08:08","Santo Angelo - R11","Caibaté","2259850","Hospital Roque Gonzales Caibate","0","0","-","0","0"
"16/06/2020 08:08","Uruguaiana - R03","Quaraí","2248247","Fundacao Hospitalar De Caridade De Quarai","0","0","-","0","0"
"16/06/2020 08:10","Santa Maria - R01 R02","Formigueiro","2244217","Hospital Municipal Pedro Calil","0","0","-","0","0"
