IBGE;MUNICIPIO;LATITUDE_MUNICIPIO;LONGITUDE_MUNICIPIO;SIGLA_UF;COORDENADORIA REGIONAL DE SAUDE;REGIAO SAUDE;CODIGO MACRORREGIAO SAUDE;MACRORREGIAO SAUDE;CODIGO REGIAO COVID;REGIAO COVID;CNES ESTABELECIMENTO SAUDE;NOME FANTASIA ESTABELECIMENTO SAUDE;LATITUDE_ESTABELECIMENTO;LONGITUDE_ESTABELECIMENTO;DATA INCLUSAO REGISTRO;NUMERO LEITOS UTI ADULTO (SUS  PRIVADO);NUMERO LEITOS CLINICOS ADULTO  (SUS  PRIVADO);NUMERO LEITOS UTI PEDRIATRICO  (SUS  PRIVADO);NUMERO DE RESPIRADORES;NUMERO SUSPEITOS COVID-SRAG EM LEITO UTI ADULTO  (SUS  PRIVADO);NUMERO CONFIRMADOS COVID EM LEITO UTI ADULTO  (SUS  PRIVADO);NUMERO SUSPEITOS COVID-SRAG EM LEITO UTI PEDIATRICO  (SUS  PRIVADO);NUMERO CONFIRMADOS COVID EM LEITO UTI PEDIATRICO  (SUS  PRIVADO);NUMERO SUSPEITOS COVID-SRAG EM LEITO CLINICO ADULTO  (SUS  PRIVADO);NUMERO CONFIRMADOS COVID EM LEITO CLINICO ADULTO  (SUS  PRIVADO);NUMERO SUSPEITOS COVID-SRAG EM LEITO CLINICO PEDIATRICO  (SUS  PRIVADO);NUMERO CONFIRMADOS COVID EM LEITO CLINICO PEDIATRICO  (SUS  PRIVADO);NUMERO PACIENTES ADULTOS SUSPEITOS E CONFIRMADOS UTILIZANDO RESPIRADORES EM UTI;NUMERO PACIENTES ADULTOS INTERNADOS EM LEITOS UTI  (SUS  PRIVADO)
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-18 07:22:05.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-19 07:05:40.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-20 08:45:50.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-21 08:05:53.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-22 08:25:06.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-23 08:14:51.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-24 08:52:05.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-25 07:57:43.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-26 08:08:39.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-27 08:19:12.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-28 08:38:07.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-29 09:07:39.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-30 07:33:10.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-07-02 09:06:54.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
431290;Nova Bassano;-28.724;-51.705;RS;05 CRS;Região 25 - Vinhedos e Basalto;4305;Serra;17;CAXIAS DO SUL - R23 R24 R25 R26;5230241;ACONSEL;-28.7353539;-51.7011814;2020-06-18 21:15:23.0;0;44;0;1;0;0;0;0;1;0;0;0;0;0
431290;Nova Bassano;-28.724;-51.705;RS;05 CRS;Região 25 - Vinhedos e Basalto;4305;Serra;17;CAXIAS DO SUL - R23 R24 R25 R26;5230241;ACONSEL;-28.7353539;-51.7011814;2020-06-19 00:00:00.0;0;44;0;1;0;0;0;0;1;0;0;0;0;0
