cnes,codigo_ibge,municipio,regiao_covid,codigo_regiao_covid,latitude,longitude,data_atualizacao,leitos_total,leitos_internacoes,leitos_covid,lotacao,leitos_disponiveis,semana_epidemiologica,hospital
2249502,4300901,Aratiba,ERECHIM - R16,13,-27.4002458,-52.3083046,2020-07-11,0,0,0,NA,0,28,Acha Aratiba
5230241,4312906,Nova Bassano,CAXIAS DO SUL - R23 R24 R25 R26,17,-28.7353539,-51.7011814,2020-07-11,0,0,0,NA,0,28,Aconsel
6295320,4314902,Porto Alegre,PORTO ALEGRE - R09 R10,7,-30.0870935,-51.2063809,2020-07-11,10,6,0,0.6,4,28,Aesc Hospital Santa Ana
6953689,4306502,Dom Feliciano,PORTO ALEGRE - R09 R10,7,-30.7049242,-52.1084924,2020-07-11,0,0,0,NA,0,28,Asdomf
5699525,4302907,Cacequi,SANTA MARIA - R01 R02,1,-29.8748182,-54.8248249,2020-07-11,0,0,0,NA,0,28,Asso
2235382,4305900,Coronel Bicaco,PALMEIRA DAS MISSOES - R15 R20,12,-27.7901779,-53.6718623,2020-07-11,0,0,0,NA,0,28,Assoc Hosp Santo Antonio De Padua
7607547,4309605,Horizontina,SANTA ROSA - R14,11,-27.6290843,-54.3009558,2020-07-11,0,0,0,NA,0,28,Associacao Beneficente Oswaldo Cruz De Horizontina
2263831,4315354,Quinze De Novembro,CRUZ ALTA - R12,9,-28.7428759,-53.0918892,2020-07-11,0,0,0,NA,0,28,Associacao Hospitalar 15 De Novembro
2235420,4316105,Ronda Alta,PALMEIRA DAS MISSOES - R15 R20,12,-27.7828504,-52.8018207,2020-07-11,0,0,0,NA,0,28,Associacao Hospitalar De Ronda Alta
2793237,4309407,Guaporé,CAXIAS DO SUL - R23 R24 R25 R26,17,-28.8483221,-51.8857884,2020-07-11,0,0,0,NA,0,28,Associacao Hospitalar Manoel Francisco Guerreiro
2249618,4311908,Marcelino Ramos,ERECHIM - R16,13,-27.468112,-51.9100081,2020-07-11,0,0,0,NA,0,28,Associacao Hospitalar Marcelinense
2693801,4314902,Porto Alegre,PORTO ALEGRE - R09 R10,7,-30.1194289,-51.2077738,2020-07-11,20,20,3,1,0,28,Associacao Hospitalar Vila Nova
