dia,semana_epidemiologica
2020-01-01,1/20
2020-01-02,1/20
2020-01-03,1/20
2020-01-04,1/20
2020-01-05,2/20
2020-01-06,2/20
2020-01-07,2/20
2020-01-08,2/20
2020-01-09,2/20
2020-01-10,2/20
2020-01-11,2/20
2020-01-12,3/20
2020-01-13,3/20
2020-01-14,3/20
2020-01-15,3/20
2020-01-16,3/20
2020-01-17,3/20
2020-01-18,3/20
2020-01-19,4/20
2020-01-20,4/20
2020-01-21,4/20
2020-01-22,4/20
2020-01-23,4/20
2020-01-24,4/20
2020-01-25,4/20
2020-01-26,5/20
2020-01-27,5/20
2020-01-28,5/20
2020-01-29,5/20
2020-01-30,5/20
2020-01-31,5/20
2020-02-01,5/20
2020-02-02,6/20
2020-02-03,6/20
2020-02-04,6/20
2020-02-05,6/20
2020-02-06,6/20
2020-02-07,6/20
2020-02-08,6/20
2020-02-09,7/20
2020-02-10,7/20
2020-02-11,7/20
2020-02-12,7/20
2020-02-13,7/20
2020-02-14,7/20
2020-02-15,7/20
2020-02-16,8/20
2020-02-17,8/20
2020-02-18,8/20
2020-02-19,8/20
2020-02-20,8/20
2020-02-21,8/20
2020-02-22,8/20
2020-02-23,9/20
2020-02-24,9/20
2020-02-25,9/20
2020-02-26,9/20
2020-02-27,9/20
2020-02-28,9/20
2020-02-29,9/20
2020-03-01,10/20
2020-03-02,10/20
2020-03-03,10/20
2020-03-04,10/20
2020-03-05,10/20
2020-03-06,10/20
2020-03-07,10/20
2020-03-08,11/20
2020-03-09,11/20
2020-03-10,11/20
2020-03-11,11/20
2020-03-12,11/20
2020-03-13,11/20
2020-03-14,11/20
2020-03-15,12/20
2020-03-16,12/20
2020-03-17,12/20
2020-03-18,12/20
2020-03-19,12/20
2020-03-20,12/20
2020-03-21,12/20
2020-03-22,13/20
2020-03-23,13/20
2020-03-24,13/20
2020-03-25,13/20
2020-03-26,13/20
2020-03-27,13/20
2020-03-28,13/20
2020-03-29,14/20
2020-03-30,14/20
2020-03-31,14/20
2020-04-01,14/20
2020-04-02,14/20
2020-04-03,14/20
2020-04-04,14/20
2020-04-05,15/20
2020-04-06,15/20
2020-04-07,15/20
2020-04-08,15/20
2020-04-09,15/20
2020-04-10,15/20
2020-04-11,15/20
2020-04-12,16/20
2020-04-13,16/20
2020-04-14,16/20
2020-04-15,16/20
2020-04-16,16/20
2020-04-17,16/20
2020-04-18,16/20
2020-04-19,17/20
2020-04-20,17/20
2020-04-21,17/20
2020-04-22,17/20
2020-04-23,17/20
2020-04-24,17/20
2020-04-25,17/20
2020-04-26,18/20
2020-04-27,18/20
2020-04-28,18/20
2020-04-29,18/20
2020-04-30,18/20
2020-05-01,18/20
2020-05-02,18/20
2020-05-03,19/20
2020-05-04,19/20
2020-05-05,19/20
2020-05-06,19/20
2020-05-07,19/20
2020-05-08,19/20
2020-05-09,19/20
2020-05-10,20/20
2020-05-11,20/20
2020-05-12,20/20
2020-05-13,20/20
2020-05-14,20/20
2020-05-15,20/20
2020-05-16,20/20
2020-05-17,21/20
2020-05-18,21/20
2020-05-19,21/20
2020-05-20,21/20
2020-05-21,21/20
2020-05-22,21/20
2020-05-23,21/20
2020-05-24,22/20
2020-05-25,22/20
2020-05-26,22/20
2020-05-27,22/20
2020-05-28,22/20
2020-05-29,22/20
2020-05-30,22/20
2020-05-31,23/20
2020-06-01,23/20
2020-06-02,23/20
2020-06-03,23/20
2020-06-04,23/20
2020-06-05,23/20
2020-06-06,23/20
2020-06-07,24/20
2020-06-08,24/20
2020-06-09,24/20
2020-06-10,24/20
2020-06-11,24/20
2020-06-12,24/20
2020-06-13,24/20
2020-06-14,25/20
2020-06-15,25/20
2020-06-16,25/20
2020-06-17,25/20
2020-06-18,25/20
2020-06-19,25/20
2020-06-20,25/20
2020-06-21,26/20
2020-06-22,26/20
2020-06-23,26/20
2020-06-24,26/20
2020-06-25,26/20
2020-06-26,26/20
2020-06-27,26/20
2020-06-28,27/20
2020-06-29,27/20
2020-06-30,27/20
2020-07-01,27/20
2020-07-02,27/20
2020-07-03,27/20
2020-07-04,27/20
2020-07-05,28/20
2020-07-06,28/20
2020-07-07,28/20
2020-07-08,28/20
2020-07-09,28/20
2020-07-10,28/20
2020-07-11,28/20
2020-07-12,29/20
2020-07-13,29/20
2020-07-14,29/20
2020-07-15,29/20
2020-07-16,29/20
2020-07-17,29/20
2020-07-18,29/20
2020-07-19,30/20
2020-07-20,30/20
2020-07-21,30/20
2020-07-22,30/20
2020-07-23,30/20
2020-07-24,30/20
2020-07-25,30/20
2020-07-26,31/20
2020-07-27,31/20
2020-07-28,31/20
2020-07-29,31/20
2020-07-30,31/20
2020-07-31,31/20
2020-08-01,31/20
2020-08-02,32/20
2020-08-03,32/20
2020-08-04,32/20
2020-08-05,32/20
2020-08-06,32/20
2020-08-07,32/20
2020-08-08,32/20
2020-08-09,33/20
2020-08-10,33/20
2020-08-11,33/20
2020-08-12,33/20
2020-08-13,33/20
2020-08-14,33/20
2020-08-15,33/20
2020-08-16,34/20
2020-08-17,34/20
2020-08-18,34/20
2020-08-19,34/20
2020-08-20,34/20
2020-08-21,34/20
2020-08-22,34/20
2020-08-23,35/20
2020-08-24,35/20
2020-08-25,35/20
2020-08-26,35/20
2020-08-27,35/20
2020-08-28,35/20
2020-08-29,35/20
2020-08-30,36/20
2020-08-31,36/20
2020-09-01,36/20
2020-09-02,36/20
2020-09-03,36/20
2020-09-04,36/20
2020-09-05,36/20
2020-09-06,37/20
2020-09-07,37/20
2020-09-08,37/20
2020-09-09,37/20
2020-09-10,37/20
2020-09-11,37/20
2020-09-12,37/20
2020-09-13,38/20
2020-09-14,38/20
2020-09-15,38/20
2020-09-16,38/20
2020-09-17,38/20
2020-09-18,38/20
2020-09-19,38/20
2020-09-20,39/20
2020-09-21,39/20
2020-09-22,39/20
2020-09-23,39/20
2020-09-24,39/20
2020-09-25,39/20
2020-09-26,39/20
2020-09-27,40/20
2020-09-28,40/20
2020-09-29,40/20
2020-09-30,40/20
2020-10-01,40/20
2020-10-02,40/20
2020-10-03,40/20
2020-10-04,41/20
2020-10-05,41/20
2020-10-06,41/20
2020-10-07,41/20
2020-10-08,41/20
2020-10-09,41/20
2020-10-10,41/20
2020-10-11,42/20
2020-10-12,42/20
2020-10-13,42/20
2020-10-14,42/20
2020-10-15,42/20
2020-10-16,42/20
2020-10-17,42/20
2020-10-18,43/20
2020-10-19,43/20
2020-10-20,43/20
2020-10-21,43/20
2020-10-22,43/20
2020-10-23,43/20
2020-10-24,43/20
2020-10-25,44/20
2020-10-26,44/20
2020-10-27,44/20
2020-10-28,44/20
2020-10-29,44/20
2020-10-30,44/20
2020-10-31,44/20
2020-11-01,45/20
2020-11-02,45/20
2020-11-03,45/20
2020-11-04,45/20
2020-11-05,45/20
2020-11-06,45/20
2020-11-07,45/20
2020-11-08,46/20
2020-11-09,46/20
2020-11-10,46/20
2020-11-11,46/20
2020-11-12,46/20
2020-11-13,46/20
2020-11-14,46/20
2020-11-15,47/20
2020-11-16,47/20
2020-11-17,47/20
2020-11-18,47/20
2020-11-19,47/20
2020-11-20,47/20
2020-11-21,47/20
2020-11-22,48/20
2020-11-23,48/20
2020-11-24,48/20
2020-11-25,48/20
2020-11-26,48/20
2020-11-27,48/20
2020-11-28,48/20
2020-11-29,49/20
2020-11-30,49/20
2020-12-01,49/20
2020-12-02,49/20
2020-12-03,49/20
2020-12-04,49/20
2020-12-05,49/20
2020-12-06,50/20
2020-12-07,50/20
2020-12-08,50/20
2020-12-09,50/20
2020-12-10,50/20
2020-12-11,50/20
2020-12-12,50/20
2020-12-13,51/20
2020-12-14,51/20
2020-12-15,51/20
2020-12-16,51/20
2020-12-17,51/20
2020-12-18,51/20
2020-12-19,51/20
2020-12-20,52/20
2020-12-21,52/20
2020-12-22,52/20
2020-12-23,52/20
2020-12-24,52/20
2020-12-25,52/20
2020-12-26,52/20
2020-12-27,53/20
2020-12-28,53/20
2020-12-29,53/20
2020-12-30,53/20
2020-12-31,53/20
2021-01-01,53/20
2021-01-02,53/20
2021-01-03,1/21
2021-01-04,1/21
2021-01-05,1/21
2021-01-06,1/21
2021-01-07,1/21
2021-01-08,1/21
2021-01-09,1/21
2021-01-10,2/21
2021-01-11,2/21
2021-01-12,2/21
2021-01-13,2/21
2021-01-14,2/21
2021-01-15,2/21
2021-01-16,2/21
2021-01-17,3/21
2021-01-18,3/21
2021-01-19,3/21
2021-01-20,3/21
2021-01-21,3/21
2021-01-22,3/21
2021-01-23,3/21
2021-01-24,4/21
2021-01-25,4/21
2021-01-26,4/21
2021-01-27,4/21
2021-01-28,4/21
2021-01-29,4/21
2021-01-30,4/21
2021-01-31,5/21
2021-02-01,5/21
2021-02-02,5/21
2021-02-03,5/21
2021-02-04,5/21
2021-02-05,5/21
2021-02-06,5/21
2021-02-07,6/21
2021-02-08,6/21
2021-02-09,6/21
2021-02-10,6/21
2021-02-11,6/21
2021-02-12,6/21
2021-02-13,6/21
2021-02-14,7/21
2021-02-15,7/21
2021-02-16,7/21
2021-02-17,7/21
2021-02-18,7/21
2021-02-19,7/21
2021-02-20,7/21
2021-02-21,8/21
2021-02-22,8/21
2021-02-23,8/21
2021-02-24,8/21
2021-02-25,8/21
2021-02-26,8/21
2021-02-27,8/21
2021-02-28,9/21
2021-03-01,9/21
2021-03-02,9/21
2021-03-03,9/21
2021-03-04,9/21
2021-03-05,9/21
2021-03-06,9/21
2021-03-07,10/21
2021-03-08,10/21
2021-03-09,10/21
2021-03-10,10/21
2021-03-11,10/21
2021-03-12,10/21
2021-03-13,10/21
2021-03-14,11/21
2021-03-15,11/21
2021-03-16,11/21
2021-03-17,11/21
2021-03-18,11/21
2021-03-19,11/21
2021-03-20,11/21
2021-03-21,12/21
2021-03-22,12/21
2021-03-23,12/21
2021-03-24,12/21
2021-03-25,12/21
2021-03-26,12/21
2021-03-27,12/21
2021-03-28,13/21
2021-03-29,13/21
