codigo_ibge,regiao_covid,codigo_regiao_covid
4300034,BAGE - R22,16
4300059,PASSO FUNDO - R17 R18 R19,14
4300109,SANTA MARIA - R01 R02,1
4300208,IJUI - R13,10
4300307,SANTA ROSA - R14,11
4300406,URUGUAIANA - R03,2
4300455,SANTA ROSA - R14,11
4300471,PASSO FUNDO - R17 R18 R19,14
4300505,PALMEIRA DAS MISSOES - R15 R20,12
4300554,PASSO FUNDO - R17 R18 R19,14
4300570,CAXIAS DO SUL - R23 R24 R25 R26,17
4300604,PORTO ALEGRE - R09 R10,7
4300638,PELOTAS - R21,15
4300646,PALMEIRA DAS MISSOES - R15 R20,12
4300661,PASSO FUNDO - R17 R18 R19,14
4300703,LAJEADO - R29 R30,20
4300802,CAXIAS DO SUL - R23 R24 R25 R26,17
4300851,PORTO ALEGRE - R09 R10,7
4300877,NOVO HAMBURGO - R07,5
4300901,ERECHIM - R16,13
4301008,LAJEADO - R29 R30,20
4301073,PELOTAS - R21,15
4301057,CAPAO DA CANOA - R04 R05,3
4301206,CACHOEIRA DO SUL - R27,18
4301107,PORTO ALEGRE - R09 R10,7
4301305,PELOTAS - R21,15
4301404,PASSO FUNDO - R17 R18 R19,14
4301503,IJUI - R13,10
4301552,ERECHIM - R16,13
4301602,BAGE - R22,16
4301636,CAPAO DA CANOA - R04 R05,3
4301651,CANOAS - R08,6
4301701,ERECHIM - R16,13
4301750,PORTO ALEGRE - R09 R10,7
4301859,PALMEIRA DAS MISSOES - R15 R20,12
4301875,URUGUAIANA - R03,2
4301909,PORTO ALEGRE - R09 R10,7
4301925,ERECHIM - R16,13
4301958,PALMEIRA DAS MISSOES - R15 R20,12
4301800,PASSO FUNDO - R17 R18 R19,14
4302006,PASSO FUNDO - R17 R18 R19,14
4302055,ERECHIM - R16,13
4302105,CAXIAS DO SUL - R23 R24 R25 R26,17
4302154,PALMEIRA DAS MISSOES - R15 R20,12
4302204,SANTA ROSA - R14,11
4302220,CRUZ ALTA - R12,9
4302238,CRUZ ALTA - R12,9
4302253,CAXIAS DO SUL - R23 R24 R25 R26,17
4302303,CAXIAS DO SUL - R23 R24 R25 R26,17
4302352,CAXIAS DO SUL - R23 R24 R25 R26,17
4302378,PALMEIRA DAS MISSOES - R15 R20,12
4302402,LAJEADO - R29 R30,20
4302451,LAJEADO - R29 R30,20
4302501,SANTO ANGELO - R11,8
4302584,IJUI - R13,10
4302600,PALMEIRA DAS MISSOES - R15 R20,12
4302659,CANOAS - R08,6
4302709,PORTO ALEGRE - R09 R10,7
4302808,CACHOEIRA DO SUL - R27,18
4302907,SANTA MARIA - R01 R02,1
4303004,CACHOEIRA DO SUL - R27,18
4303103,PORTO ALEGRE - R09 R10,7
4303202,PASSO FUNDO - R17 R18 R19,14
4303301,SANTO ANGELO - R11,8
4303400,PALMEIRA DAS MISSOES - R15 R20,12
4303509,PORTO ALEGRE - R09 R10,7
4303558,PASSO FUNDO - R17 R18 R19,14
4303608,TAQUARA - R06,4
4303673,CAXIAS DO SUL - R23 R24 R25 R26,17
4303707,SANTA ROSA - R14,11
4303806,ERECHIM - R16,13
4303905,NOVO HAMBURGO - R07,5
4304002,IJUI - R13,10
4304101,PASSO FUNDO - R17 R18 R19,14
4304200,SANTA CRUZ DO SUL - R28,19
4304309,SANTA ROSA - R14,11
4304358,BAGE - R22,16
4304408,CAXIAS DO SUL - R23 R24 R25 R26,17
4304507,PELOTAS - R21,15
4304606,CANOAS - R08,6
4304614,LAJEADO - R29 R30,20
4304622,PASSO FUNDO - R17 R18 R19,14
4304630,CAPAO DA CANOA - R04 R05,3
4304655,SANTA MARIA - R01 R02,1
4304663,PELOTAS - R21,15
4304689,CANOAS - R08,6
4304697,LAJEADO - R29 R30,20
4304671,CAPAO DA CANOA - R04 R05,3
4304713,CAPAO DA CANOA - R04 R05,3
4304705,PASSO FUNDO - R17 R18 R19,14
4304804,CAXIAS DO SUL - R23 R24 R25 R26,17
4304853,ERECHIM - R16,13
4304903,PASSO FUNDO - R17 R18 R19,14
4304952,PASSO FUNDO - R17 R18 R19,14
4305009,IJUI - R13,10
4305108,CAXIAS DO SUL - R23 R24 R25 R26,17
4305116,ERECHIM - R16,13
4305124,PELOTAS - R21,15
4305132,CACHOEIRA DO SUL - R27,18
4305157,PALMEIRA DAS MISSOES - R15 R20,12
4305173,PORTO ALEGRE - R09 R10,7
4305207,SANTO ANGELO - R11,8
4305306,PALMEIRA DAS MISSOES - R15 R20,12
4305355,PORTO ALEGRE - R09 R10,7
4305371,ERECHIM - R16,13
4305405,IJUI - R13,10
4305439,PELOTAS - R21,15
4305447,PORTO ALEGRE - R09 R10,7
4305454,CAPAO DA CANOA - R04 R05,3
4305504,PASSO FUNDO - R17 R18 R19,14
4305587,LAJEADO - R29 R30,20
4305603,CRUZ ALTA - R12,9
4305702,IJUI - R13,10
4305801,PALMEIRA DAS MISSOES - R15 R20,12
4305835,LAJEADO - R29 R30,20
4305850,PASSO FUNDO - R17 R18 R19,14
4305871,IJUI - R13,10
4305900,PALMEIRA DAS MISSOES - R15 R20,12
4305934,CAXIAS DO SUL - R23 R24 R25 R26,17
4305959,CAXIAS DO SUL - R23 R24 R25 R26,17
4305975,PASSO FUNDO - R17 R18 R19,14
4306007,IJUI - R13,10
4306056,PELOTAS - R21,15
4306072,PALMEIRA DAS MISSOES - R15 R20,12
4306106,CRUZ ALTA - R12,9
4306130,ERECHIM - R16,13
4306205,LAJEADO - R29 R30,20
4306304,PASSO FUNDO - R17 R18 R19,14
4306320,PALMEIRA DAS MISSOES - R15 R20,12
4306353,SANTO ANGELO - R11,8
4306379,SANTA MARIA - R01 R02,1
4306403,NOVO HAMBURGO - R07,5
4306429,PALMEIRA DAS MISSOES - R15 R20,12
4306452,LAJEADO - R29 R30,20
4306502,PORTO ALEGRE - R09 R10,7
4306601,BAGE - R22,16
4306551,CAPAO DA CANOA - R04 R05,3
4306700,SANTA MARIA - R01 R02,1
4306734,SANTA ROSA - R14,11
4306759,LAJEADO - R29 R30,20
4306767,PORTO ALEGRE - R09 R10,7
4306809,LAJEADO - R29 R30,20
4306908,CACHOEIRA DO SUL - R27,18
4306924,PALMEIRA DAS MISSOES - R15 R20,12
4306957,ERECHIM - R16,13
4306932,SANTO ANGELO - R11,8
4306973,ERECHIM - R16,13
4307005,ERECHIM - R16,13
4307054,PASSO FUNDO - R17 R18 R19,14
4307203,ERECHIM - R16,13
4307302,PALMEIRA DAS MISSOES - R15 R20,12
4307401,CAXIAS DO SUL - R23 R24 R25 R26,17
4307450,PALMEIRA DAS MISSOES - R15 R20,12
4307500,PASSO FUNDO - R17 R18 R19,14
4307559,ERECHIM - R16,13
4307609,NOVO HAMBURGO - R07,5
4307708,CANOAS - R08,6
4307807,LAJEADO - R29 R30,20
4307815,CACHOEIRA DO SUL - R27,18
4307831,SANTO ANGELO - R11,8
4307864,CAXIAS DO SUL - R23 R24 R25 R26,17
4307906,CAXIAS DO SUL - R23 R24 R25 R26,17
4308003,SANTA MARIA - R01 R02,1
4308052,ERECHIM - R16,13
4308078,LAJEADO - R29 R30,20
4308102,CAXIAS DO SUL - R23 R24 R25 R26,17
4308201,CAXIAS DO SUL - R23 R24 R25 R26,17
4308250,ERECHIM - R16,13
4308300,PASSO FUNDO - R17 R18 R19,14
4308409,SANTA MARIA - R01 R02,1
4308433,LAJEADO - R29 R30,20
4308458,CRUZ ALTA - R12,9
4308508,PALMEIRA DAS MISSOES - R15 R20,12
4308607,CAXIAS DO SUL - R23 R24 R25 R26,17
4308656,SANTO ANGELO - R11,8
4308706,ERECHIM - R16,13
4308805,PORTO ALEGRE - R09 R10,7
4308854,PASSO FUNDO - R17 R18 R19,14
4308904,ERECHIM - R16,13
4309001,SANTA ROSA - R14,11
4309050,PORTO ALEGRE - R09 R10,7
4309100,CAXIAS DO SUL - R23 R24 R25 R26,17
4309126,PALMEIRA DAS MISSOES - R15 R20,12
4309159,SANTA CRUZ DO SUL - R28,19
4309209,PORTO ALEGRE - R09 R10,7
4309258,CAXIAS DO SUL - R23 R24 R25 R26,17
4309308,PORTO ALEGRE - R09 R10,7
4309407,CAXIAS DO SUL - R23 R24 R25 R26,17
4309506,SANTO ANGELO - R11,8
4309555,CANOAS - R08,6
4307104,PELOTAS - R21,15
4309571,SANTA CRUZ DO SUL - R28,19
4309605,SANTA ROSA - R14,11
4309654,BAGE - R22,16
4309704,IJUI - R13,10
4309753,CACHOEIRA DO SUL - R27,18
4309803,PASSO FUNDO - R17 R18 R19,14
4309902,PASSO FUNDO - R17 R18 R19,14
4309951,PASSO FUNDO - R17 R18 R19,14
4310009,CRUZ ALTA - R12,9
4310108,TAQUARA - R06,4
4310207,IJUI - R13,10
4310306,LAJEADO - R29 R30,20
4310330,CAPAO DA CANOA - R04 R05,3
4310363,LAJEADO - R29 R30,20
4310405,SANTA ROSA - R14,11
4310413,IJUI - R13,10
4310439,CAXIAS DO SUL - R23 R24 R25 R26,17
4310462,ERECHIM - R16,13
4310504,PALMEIRA DAS MISSOES - R15 R20,12
4310538,SANTA MARIA - R01 R02,1
4310553,SANTA MARIA - R01 R02,1
4310579,PASSO FUNDO - R17 R18 R19,14
4310603,URUGUAIANA - R03,2
4310652,CAPAO DA CANOA - R04 R05,3
4310702,ERECHIM - R16,13
4310751,SANTA MARIA - R01 R02,1
4310801,NOVO HAMBURGO - R07,5
4310850,PALMEIRA DAS MISSOES - R15 R20,12
4310876,CRUZ ALTA - R12,9
4310900,ERECHIM - R16,13
4311007,PELOTAS - R21,15
4311106,SANTA MARIA - R01 R02,1
4311122,CAXIAS DO SUL - R23 R24 R25 R26,17
4311130,SANTA MARIA - R01 R02,1
4311155,IJUI - R13,10
4311205,SANTA MARIA - R01 R02,1
4311239,CACHOEIRA DO SUL - R27,18
4311270,PASSO FUNDO - R17 R18 R19,14
4311304,PASSO FUNDO - R17 R18 R19,14
4311254,PASSO FUNDO - R17 R18 R19,14
4311403,LAJEADO - R29 R30,20
4311429,PALMEIRA DAS MISSOES - R15 R20,12
4311502,BAGE - R22,16
4311601,PALMEIRA DAS MISSOES - R15 R20,12
4311627,NOVO HAMBURGO - R07,5
4311643,CAXIAS DO SUL - R23 R24 R25 R26,17
4311718,URUGUAIANA - R03,2
4311700,PASSO FUNDO - R17 R18 R19,14
4311734,CAPAO DA CANOA - R04 R05,3
4311759,URUGUAIANA - R03,2
4311775,CAPAO DA CANOA - R04 R05,3
4311791,CANOAS - R08,6
4311809,PASSO FUNDO - R17 R18 R19,14
4311908,ERECHIM - R16,13
4311981,PORTO ALEGRE - R09 R10,7
4312005,ERECHIM - R16,13
4312054,LAJEADO - R29 R30,20
4312104,SANTA MARIA - R01 R02,1
4312138,PASSO FUNDO - R17 R18 R19,14
4312153,SANTA CRUZ DO SUL - R28,19
4312179,SANTO ANGELO - R11,8
4312203,PASSO FUNDO - R17 R18 R19,14
4312252,PORTO ALEGRE - R09 R10,7
4312302,PALMEIRA DAS MISSOES - R15 R20,12
4312351,PASSO FUNDO - R17 R18 R19,14
4312377,CAXIAS DO SUL - R23 R24 R25 R26,17
4312385,CAXIAS DO SUL - R23 R24 R25 R26,17
4312401,CANOAS - R08,6
4312427,PASSO FUNDO - R17 R18 R19,14
4312443,CAPAO DA CANOA - R04 R05,3
4312450,PELOTAS - R21,15
4312476,NOVO HAMBURGO - R07,5
4312500,CAPAO DA CANOA - R04 R05,3
4312609,LAJEADO - R29 R30,20
4312617,CAXIAS DO SUL - R23 R24 R25 R26,17
4312625,PASSO FUNDO - R17 R18 R19,14
4312658,PASSO FUNDO - R17 R18 R19,14
4312674,PASSO FUNDO - R17 R18 R19,14
4312708,ERECHIM - R16,13
4312757,PASSO FUNDO - R17 R18 R19,14
4312807,CAXIAS DO SUL - R23 R24 R25 R26,17
4312906,CAXIAS DO SUL - R23 R24 R25 R26,17
4312955,PALMEIRA DAS MISSOES - R15 R20,12
4313003,LAJEADO - R29 R30,20
4313011,SANTA ROSA - R14,11
4313037,SANTA MARIA - R01 R02,1
4313060,NOVO HAMBURGO - R07,5
4313086,CAXIAS DO SUL - R23 R24 R25 R26,17
4313102,SANTA MARIA - R01 R02,1
4313201,CAXIAS DO SUL - R23 R24 R25 R26,17
4313300,CAXIAS DO SUL - R23 R24 R25 R26,17
4313334,IJUI - R13,10
4313359,CAXIAS DO SUL - R23 R24 R25 R26,17
4313375,CANOAS - R08,6
4313490,PALMEIRA DAS MISSOES - R15 R20,12
4313391,CACHOEIRA DO SUL - R27,18
4313409,NOVO HAMBURGO - R07,5
4313425,SANTA ROSA - R14,11
4313441,PALMEIRA DAS MISSOES - R15 R20,12
4313466,PALMEIRA DAS MISSOES - R15 R20,12
4313508,CAPAO DA CANOA - R04 R05,3
4313607,PASSO FUNDO - R17 R18 R19,14
4313656,CAPAO DA CANOA - R04 R05,3
4313706,PALMEIRA DAS MISSOES - R15 R20,12
4313805,PALMEIRA DAS MISSOES - R15 R20,12
4313904,IJUI - R13,10
4313953,SANTA CRUZ DO SUL - R28,19
4314001,CAXIAS DO SUL - R23 R24 R25 R26,17
